customer_id,behavioural_segment,behavioural_persona,competitor_landscape_segment,competitor_landscape_persona,product_segment,product_persona,channel_segment,channel_persona
22981052,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
58181396,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,1,Click and Brick Brigader
56164955,2,Loyal Convenience Shopper,2,Loyal Spender,1,Occasional Food Specialist,0,Digital Native
91030736,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
45503389,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,2,Omnichannel Enthusiast
15831819,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,2,Omnichannel Enthusiast
71662963,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,1,Click and Brick Brigader
81971316,3,Occasional Bargain Hunter,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
26753883,2,Loyal Convenience Shopper,2,Loyal Spender,2,Occasional Discoverer,0,Digital Native
60806024,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
20576383,1,Occasional Splurger,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
84093639,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
49349722,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
94374605,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
93016315,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,1,Click and Brick Brigader
58537831,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
87490893,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,1,Click and Brick Brigader
35808537,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
19335534,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,0,Digital Native
16150444,0,Value Seeking Regular,0,Wanderer,1,Occasional Food Specialist,3,Traditional Shopper
98753260,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
40587988,1,Occasional Splurger,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
48840994,3,Occasional Bargain Hunter,0,Wanderer,2,Occasional Discoverer,0,Digital Native
20709497,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
41244663,1,Occasional Splurger,0,Wanderer,2,Occasional Discoverer,1,Click and Brick Brigader
23556182,3,Occasional Bargain Hunter,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
61019678,0,Value Seeking Regular,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
47308985,1,Occasional Splurger,1,Occasional Explorer,1,Occasional Food Specialist,1,Click and Brick Brigader
70855700,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
95320121,0,Value Seeking Regular,1,Occasional Explorer,1,Occasional Food Specialist,0,Digital Native
58966946,3,Occasional Bargain Hunter,0,Wanderer,1,Occasional Food Specialist,1,Click and Brick Brigader
31831063,0,Value Seeking Regular,1,Occasional Explorer,1,Occasional Food Specialist,1,Click and Brick Brigader
59684848,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,2,Omnichannel Enthusiast
57683626,0,Value Seeking Regular,0,Wanderer,0,Occasional Omnivore,1,Click and Brick Brigader
38119557,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
99949389,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
45833156,1,Occasional Splurger,0,Wanderer,2,Occasional Discoverer,0,Digital Native
96977837,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
19583482,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
91756179,3,Occasional Bargain Hunter,0,Wanderer,2,Occasional Discoverer,1,Click and Brick Brigader
95225343,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
32969840,3,Occasional Bargain Hunter,1,Occasional Explorer,1,Occasional Food Specialist,1,Click and Brick Brigader
81691040,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
42857966,3,Occasional Bargain Hunter,1,Occasional Explorer,2,Occasional Discoverer,2,Omnichannel Enthusiast
31931511,1,Occasional Splurger,0,Wanderer,1,Occasional Food Specialist,1,Click and Brick Brigader
72043515,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
60929647,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
46231783,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
95899313,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
84752529,0,Value Seeking Regular,0,Wanderer,0,Occasional Omnivore,3,Traditional Shopper
39476249,3,Occasional Bargain Hunter,0,Wanderer,2,Occasional Discoverer,0,Digital Native
53524491,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
17507864,0,Value Seeking Regular,1,Occasional Explorer,1,Occasional Food Specialist,3,Traditional Shopper
40742311,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
14308421,0,Value Seeking Regular,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
52339391,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,2,Omnichannel Enthusiast
63843426,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,0,Digital Native
45935572,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
18883684,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
38317637,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
