element_type,osmid,nodes,landuse,geometry,store,amenity,compressed_air,name,source,access,fee,parking,covered,alt_name,historic,old_name,operator,studio,wikipedia,addr:city,addr:housenumber,addr:state,addr:street,website,official_name,brand,brand:wikidata,shop,tourism,addr:postcode,phone,description
way,1137206621,"[10600903855, 10600903856, 10861468727, 10600903857, 10861468728, 10600903858, 10600903855]",commercial,"POLYGON ((-118.5621593 34.2375568, -118.5621447 34.2356747, -118.5620906 34.235633, -118.5598822 34.2356318, -118.5599023 34.2358343, -118.5599296 34.2375771, -118.5621593 34.2375568))","Kohl's, 8800 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,312206757,"[3180508340, 3180508341, 3180508342, 3180508352, 3180508353, 3180508358, 3180508359, 3180510089, 3180510090, 3180510086, 3180510085, 3180508340]",commercial,"POLYGON ((-118.3696168 34.1940628, -118.3701113 34.1940628, -118.3701259 34.1940636, -118.3701406 34.1940697, -118.3701542 34.1940809, -118.3701615 34.1940939, -118.3701625 34.1941112, -118.3701625 34.194464, -118.3698667 34.1944648, -118.3698635 34.1944233, -118.3696189 34.1944233, -118.3696168 34.1940628))","Target, 11051 Victory Blvd, North Hollywood",fuel,yes,Arco,bing,,,,,,,,,,,,,,,,,,,,,,,
way,1110904366,"[10164081692, 10164081693, 10164081694, 10164081695, 10164081692]",commercial,"POLYGON ((-118.3680381 34.1806892, -118.3680328 34.179511, -118.3665093 34.1795176, -118.3679282 34.1807048, -118.3680381 34.1806892))","Target, 11051 Victory Blvd, North Hollywood",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1111200908,"[10167729624, 10167729625, 10167729626, 10167729627, 10167729628, 10167729629, 10167729630, 10167729624]",commercial,"POLYGON ((-118.3701373 34.1938592, -118.3701958 34.1938196, -118.3701938 34.1934405, -118.3698221 34.1934418, -118.3698228 34.1935904, -118.3697542 34.1935907, -118.3697556 34.1938605, -118.3701373 34.1938592))","Target, 11051 Victory Blvd, North Hollywood",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39929053,"[1901520752, 936119319, 936119320, 936119321, 479415311, 479415315, 479415319, 479415322, 494574477, 1901520752]",commercial,"POLYGON ((-118.1482631 34.0858345, -118.1482339 34.0841199, -118.1517934 34.0841187, -118.1518233 34.0857141, -118.1511331 34.0856974, -118.1511331 34.0858111, -118.1503606 34.0858137, -118.149013 34.0858182, -118.1482973 34.0858283, -118.1482631 34.0858345))","Kohl's, 1201 S Fremont Ave, Alhambra",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,402079594,"[4045149688, 4045149672, 4045149589, 4045149590, 4045149544, 4045149543, 4045149579, 4045149681, 4045149682, 4045149687, 4045149688]",commercial,"POLYGON ((-118.3040015 34.0985176, -118.3040471 34.0984832, -118.3040451 34.0983794, -118.3040511 34.0983794, -118.3040498 34.0982583, -118.304202 34.0982579, -118.3042688 34.0983127, -118.3042703 34.0985077, -118.3040558 34.0985082, -118.3040572 34.0985165, -118.3040015 34.0985176))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402079596,"[4045149677, 4045149547, 4045149552, 4045149568, 4045149569, 4045149581, 4045149577, 4045149585, 4045149792, 4045149791, 4045149678, 4045149677]",commercial,"POLYGON ((-118.3028602 34.0984843, -118.3028615 34.0982572, -118.303062 34.0982594, -118.3030627 34.0982822, -118.3030734 34.0982822, -118.3030747 34.0983083, -118.3031438 34.0983061, -118.3031445 34.0983521, -118.3031456 34.0985181, -118.3029219 34.0985154, -118.3029185 34.0984849, -118.3028602 34.0984843))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402079598,"[4045150105, 4045150107, 4045150106, 4045150108, 4045150090, 4045150091, 4045150079, 4045150080, 4045150083, 4045150084, 4045150075, 4045150076, 4045150094, 4045150095, 4045150097, 4045150105]",commercial,"POLYGON ((-118.3020257 34.1016166, -118.301844 34.101617, -118.3018209 34.101617, -118.301631 34.1016174, -118.3016315 34.1015466, -118.3016954 34.1015468, -118.3016957 34.1015051, -118.3017311 34.1015053, -118.3017311 34.1015096, -118.3017713 34.1015097, -118.3017713 34.1014999, -118.3019998 34.1015008, -118.3019995 34.101559, -118.3020748 34.1015593, -118.3020749 34.1015754, -118.3020257 34.1016166))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,customers,no,surface,,,,,,,,,,,,,,,,,,,,
way,402079599,"[4045149797, 4045149816, 4045149819, 4045149818, 4045149837, 4045149839, 4045149838, 4045149836, 4045149835, 4045149551, 4045149550, 4045149549, 4045149548, 4045149669, 4045149673, 4045149799, 4045149797]",commercial,"POLYGON ((-118.301868 34.0985329, -118.3018681 34.098549, -118.3018681 34.0985518, -118.3018546 34.0985518, -118.3018513 34.0986506, -118.3016092 34.0986523, -118.3015455 34.0986523, -118.3015455 34.0986212, -118.301508 34.0986212, -118.3015053 34.0982588, -118.3015375 34.0982587, -118.3017018 34.0982583, -118.3018654 34.098258, -118.301866 34.0984768, -118.3018359 34.0984779, -118.3018365 34.098533, -118.301868 34.0985329))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,no,,,,,,,,,,,,,,,,,,,
way,402079602,"[4045149680, 4045149583, 4045149582, 4045149574, 4045149575, 4045149561, 4045149558, 4045149600, 4045149599, 4045149562, 4045149559, 4045149560, 4045149556, 4045149555, 4045149578, 4045149598, 4045149801, 4045149802, 4045149803, 4045149790, 4045149789, 4045149804, 4045149806, 4045149686, 4045149685, 4045149684, 4045149683, 4045149592, 4045149591, 4045149617, 4045149619, 4045149807, 4045149809, 4045149680]",commercial,"POLYGON ((-118.298425 34.0985013, -118.2984278 34.0983146, -118.2984539 34.0983141, -118.2984539 34.0982913, -118.2984901 34.0982919, -118.2984901 34.0982696, -118.2986142 34.098268, -118.2986162 34.0984057, -118.2986953 34.0984051, -118.2986933 34.0982703, -118.2988725 34.0982687, -118.2988746 34.0982687, -118.2992407 34.0982655, -118.2992714 34.0982654, -118.2993212 34.0983064, -118.2993217 34.0984026, -118.2993225 34.0985398, -118.2992703 34.0985402, -118.2991585 34.0985405, -118.2991595 34.0985134, -118.2991243 34.0985131, -118.2991247 34.0985406, -118.2989221 34.0985413, -118.2989208 34.0985095, -118.2988806 34.0985095, -118.2988739 34.0985092, -118.2988729 34.0985092, -118.2988711 34.0983796, -118.2988073 34.0983796, -118.2988033 34.0984284, -118.298588 34.098429, -118.298588 34.0985424, -118.2984253 34.098543, -118.298425 34.0985013))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402079603,"[4045150037, 4045150036, 4045150103, 4045150104, 4045150037]",commercial,"POLYGON ((-118.3035967 34.1012278, -118.3037381 34.1012267, -118.3037394 34.1016132, -118.3036004 34.1016135, -118.3035967 34.1012278))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,private,,surface,,,,,,,,,,,,,,,,,,,,
way,402079604,"[4045149546, 4045149545, 4045149586, 4045149587, 4045149546]",commercial,"POLYGON ((-118.3033456 34.0982563, -118.3037982 34.0982546, -118.3037975 34.0983673, -118.3033462 34.0983718, -118.3033456 34.0982563))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402079607,"[4045150111, 4045150038, 4045150039, 4045150056, 4045150055, 4045150109, 4045150111]",commercial,"POLYGON ((-118.3012364 34.1016182, -118.3012358 34.101244, -118.3014289 34.1012451, -118.3014289 34.1013628, -118.3014477 34.1013622, -118.3014477 34.1016178, -118.3012364 34.1016182))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,customers,no,surface,,,,,,,,,,,,,,,,,,,,
way,402080674,"[4045157143, 4045157145, 4045157151, 4045157157, 4045157158, 4045157197, 4045157199, 4045157200, 4045157194, 4045157154, 4045157144, 4045157143]",commercial,"POLYGON ((-118.3064431 34.1012927, -118.3064452 34.1013204, -118.3064454 34.1013597, -118.3064415 34.1014423, -118.3061676 34.1014437, -118.3061697 34.1016047, -118.3061358 34.1016055, -118.3059719 34.1016061, -118.3059718 34.1015946, -118.3059716 34.1014319, -118.3059714 34.1012982, -118.3064431 34.1012927))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402080675,"[4045157196, 4045157157, 4045157151, 4045157150, 4045157152, 4045157153, 4045157156, 4045157155, 4045157165, 4045157166, 4045157163, 4045157164, 4045157168, 4045157169, 4045157185, 4045157184, 4045157195, 4045157196]",commercial,"POLYGON ((-118.3064427 34.1016087, -118.3064415 34.1014423, -118.3064454 34.1013597, -118.3066798 34.1013605, -118.30668 34.1013949, -118.3066639 34.1013951, -118.3066645 34.1014323, -118.3066802 34.1014321, -118.3066804 34.1014688, -118.3066623 34.101469, -118.3066621 34.1014581, -118.3065753 34.1014591, -118.3065755 34.1014718, -118.3065603 34.101472, -118.3065616 34.1015433, -118.3065699 34.1015432, -118.306571 34.1016041, -118.3064427 34.1016087))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,customers,no,surface,,,,,,,,,,,,,,,,,,,,
way,402080676,"[4045157092, 4045157105, 4045157104, 4045157098, 4045157097, 4045157101, 4045157102, 4045157099, 4045157100, 4045157096, 4045157095, 4045157106, 4045157103, 4045157094, 4045157093, 4045157089, 4045157088, 4045157087, 4045157086, 4045157085, 4045157091, 4045157090, 4045157092]",commercial,"POLYGON ((-118.3091054 34.0995902, -118.3091058 34.0996524, -118.3090949 34.0996524, -118.3090882 34.0996374, -118.3090734 34.0996368, -118.3090681 34.0996507, -118.3089145 34.0996521, -118.3089145 34.0996485, -118.3088716 34.0996488, -118.3088602 34.0996366, -118.3088471 34.0996366, -118.3088341 34.0996532, -118.3087348 34.0996524, -118.3087355 34.0995996, -118.308651 34.0995991, -118.308649 34.0994497, -118.3087241 34.0994486, -118.3087234 34.0994242, -118.3088336 34.0994235, -118.3089098 34.0994231, -118.3089071 34.0995358, -118.3091051 34.0995341, -118.3091054 34.0995902))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402080677,"[4045156561, 4045156539, 4045156538, 4045156537, 4045156560, 4045156559, 4045156556, 4045156557, 4045156558, 4045156561]",commercial,"POLYGON ((-118.3063639 34.0954108, -118.306368 34.0952809, -118.3064935 34.0952808, -118.3069285 34.0952807, -118.3069296 34.0954069, -118.3066764 34.0954053, -118.3066751 34.0953847, -118.3066389 34.0953864, -118.3066382 34.0954053, -118.3063639 34.0954108))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402081016,"[4045159749, 4045159752, 4045159754, 4045159755, 4045159756, 4045159757, 4045159758, 4045159753, 4045159751, 4045159738, 4045159737, 4045159748, 4045159747, 4045159750, 4045159749]",commercial,"POLYGON ((-118.3053712 34.0915142, -118.3053737 34.091802, -118.305374 34.0918644, -118.3052091 34.0918654, -118.305044 34.0918663, -118.3048788 34.0918673, -118.3047496 34.091868, -118.304732 34.0917944, -118.3047334 34.0916033, -118.3047306 34.0909204, -118.3048909 34.0909147, -118.3048882 34.0914692, -118.3052613 34.0914597, -118.3053729 34.091462, -118.3053712 34.0915142))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,402081017,"[4045159742, 4045159745, 4045159746, 4045159743, 4045159744, 4045159739, 9350130984, 4045159741, 4045159742]",commercial,"POLYGON ((-118.3057081 34.0912057, -118.3057126 34.0914107, -118.3056063 34.0914117, -118.3056085 34.0913864, -118.3055597 34.0913875, -118.3055636 34.0912059, -118.3055772 34.0912053, -118.3055945 34.0912046, -118.3057081 34.0912057))","Target, 5500 W Sunset Blvd, Los Angeles",parking,,,2014 LARIAC,,,,,,,,,,,,,,,,,,,,,,,
way,908232075,"[8433224357, 8433224358, 8433224359, 8433224362, 8433224363, 8433224376, 8433224377, 8433224379, 757008943, 757008941, 282391668, 8433224378, 8433224364, 8433224365, 8433224366, 8433224367, 8433224360, 8433224357]",commercial,"POLYGON ((-118.3185391 34.0975748, -118.318537 34.0972784, -118.3181252 34.0972804, -118.3178799 34.0972816, -118.3178699 34.0958794, -118.3174476 34.0958814, -118.3174471 34.0957629, -118.317447 34.0957394, -118.3160982 34.0957438, -118.3160984 34.0957782, -118.3160985 34.0958085, -118.3160988 34.0958743, -118.3158576 34.0958756, -118.3158725 34.0979304, -118.3178817 34.0979205, -118.3178793 34.097578, -118.3181244 34.0975768, -118.3185391 34.0975748))","Target, 5500 W Sunset Blvd, Los Angeles",studio,,Sunset Bronson Studios,,,,,,Old Warner Brothers Studio,yes,KTLA Studios;Tribune Studios;Warner Brothers Studio,Hudson Pacific Properties,video,en:Old Warner Brothers Studio,,,,,,,,,,,,,
way,908238174,"[8433343507, 10135904011, 8433343508, 10135904010, 8433343509, 8433343510, 8433343507]",commercial,"POLYGON ((-118.3222056 34.0978947, -118.3206788 34.0979085, -118.3206706 34.0974769, -118.3202211 34.0974776, -118.3201899 34.0944868, -118.3221648 34.0944708, -118.3222056 34.0978947))","Target, 5500 W Sunset Blvd, Los Angeles",studio,,Sunset Gower Studios,,,,,,,,,Hudson Pacific Properties,video,en:Sunset Gower Studios,Los Angeles,1438,CA,Gower Street,https://www.hppsunsetstudios.com/,,,,,,,,
way,107754204,"[839550458, 1237856409, 1237856412, 1237856396, 1237856414, 1237856402, 1237856422, 1237856419, 1237856436, 1237856417, 1237856445, 1237856432, 839550543, 839550457, 839550458]",commercial,"POLYGON ((-118.257057 33.83916, -118.257072 33.8403635, -118.2570935 33.8405684, -118.2576085 33.8405863, -118.2576621 33.8409784, -118.257705 33.8412279, -118.2588745 33.843919, -118.2589174 33.8441507, -118.2565141 33.8441952, -118.2565141 33.8466012, -118.255173 33.8465833, -118.2535637 33.8466368, -118.2527746 33.8466617, -118.2527744 33.8391865, -118.257057 33.83916))","JCPenney, 20700 Avalon Blvd, Carson",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107754204,"[839550458, 1237856409, 1237856412, 1237856396, 1237856414, 1237856402, 1237856422, 1237856419, 1237856436, 1237856417, 1237856445, 1237856432, 839550543, 839550457, 839550458]",commercial,"POLYGON ((-118.257057 33.83916, -118.257072 33.8403635, -118.2570935 33.8405684, -118.2576085 33.8405863, -118.2576621 33.8409784, -118.257705 33.8412279, -118.2588745 33.843919, -118.2589174 33.8441507, -118.2565141 33.8441952, -118.2565141 33.8466012, -118.255173 33.8465833, -118.2535637 33.8466368, -118.2527746 33.8466617, -118.2527744 33.8391865, -118.257057 33.83916))","Target, 20700 Avalon Blvd Suite 700, Carson",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,906438261,"[8388876993, 8388876994, 8388876983, 8388893610, 8388893611, 8417184053, 8417184054, 8417184055, 8417184056, 8388876993]",commercial,"POLYGON ((-118.3868478 34.0202736, -118.3871773 34.0204323, -118.3867481 34.0209036, -118.3866653 34.0209842, -118.3860162 34.0228894, -118.3789979 34.021993, -118.3789871 34.0217974, -118.3800439 34.0215662, -118.3862559 34.020588, -118.3868478 34.0202736))","Target, 3535 S La Cienega Blvd, Los Angeles",,,Hayden Industrial Tract,,,,,,Forty Acres;The Back Forty,,RKO Forty Acres,,,en:RKO Forty Acres,,,,,,,,,,,,,
way,906438262,"[8416416047, 8388905462, 8388905461, 8388905460, 8388905459, 8388905458, 8388905457, 8388905456, 8388905455, 8388905454, 8388905453, 8388905452, 9392877394, 9392877393, 8417184057, 8417184058, 8417184059, 8417184060, 8417184061, 8417184062, 8416416046, 8416416055, 8416416054, 8416416053, 8416416052, 8416416051, 8416416050, 8416416049, 8416416048, 8416416047]",commercial,"POLYGON ((-118.3812998 34.0224916, -118.383173 34.0226896, -118.3820344 34.0262753, -118.3825829 34.0263909, -118.3825575 34.0264643, -118.3829169 34.0265454, -118.3829424 34.0264765, -118.3833433 34.0265643, -118.3833621 34.0265187, -118.3838972 34.0266366, -118.3839583 34.0264553, -118.384345 34.0265388, -118.3841197 34.0272546, -118.3831681 34.027166, -118.3821801 34.0270731, -118.3770479 34.0265891, -118.3775629 34.0235458, -118.3776433 34.0232613, -118.3779679 34.0226899, -118.3785151 34.0221164, -118.3802498 34.0223619, -118.3801785 34.0227584, -118.3799917 34.0227353, -118.3799765 34.0228196, -118.379891 34.022809, -118.3798141 34.0232355, -118.3812667 34.0234152, -118.3813435 34.0229887, -118.3812133 34.0229726, -118.3812998 34.0224916))","Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,917527267,"[8521743846, 8521743847, 8521743848, 8521743849, 8521743850, 8521743851, 8521743852, 8521743853, 8521743854, 8521743855, 8521743856, 6264889282, 373528295, 8465268157, 8465268158, 8465268159, 8465268160, 8521743857, 8521743858, 8521743859, 8521743860, 373528298, 373528304, 8521743832, 6264889283, 8521743846]",commercial,"POLYGON ((-118.3759591 34.0181169, -118.3759993 34.0186527, -118.3758518 34.0217272, -118.3761415 34.0217406, -118.3763453 34.0217139, -118.3765116 34.0216383, -118.3768603 34.0214205, -118.3772197 34.0212693, -118.3779117 34.0211226, -118.3788773 34.0209758, -118.3803364 34.0207357, -118.3813367 34.0205767, -118.380884 34.0200907, -118.3806277 34.0199253, -118.3805298 34.0199795, -118.3803098 34.0199618, -118.380232 34.0200574, -118.3793467 34.0197809, -118.3789015 34.0197409, -118.3789149 34.019323, -118.3795303 34.0192175, -118.3787757 34.0187301, -118.3779887 34.0180208, -118.3777777 34.0180361, -118.3775968 34.0180494, -118.3759591 34.0181169))","Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,953199168,"[8822673731, 8822673732, 8822673733, 8822673734, 8822673735, 8822673736, 8822673737, 8822673738, 8822673739, 8822673746, 8822673740, 8822673741, 8822673742, 7597320897, 8822673743, 8822673744, 8822673745, 8822673731]",commercial,"POLYGON ((-118.3769324 34.0220696, -118.3769887 34.0221163, -118.3769619 34.0224876, -118.3768774 34.0228666, -118.3767352 34.0233056, -118.3766601 34.0236347, -118.3765595 34.0240982, -118.3764603 34.024685, -118.376243 34.0260533, -118.3762165 34.026055, -118.3761317 34.0264601, -118.3760419 34.026529, -118.3760057 34.0266046, -118.3722905 34.0262706, -118.3723967 34.0243127, -118.3744312 34.0243749, -118.374568 34.021964, -118.3769324 34.0220696))","Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1011578645,"[9333229810, 9333229811, 9333229812, 9333229813, 9333229814, 9333229815, 9333229816, 9333244317, 9333244318, 9333244319, 9333244320, 9333244321, 9333244322, 9333244323, 9333244324, 9333244325, 9333244326, 9333244327, 9333244328, 9333244329, 9333244330, 9333244331, 9333244332, 9333229810]",commercial,"POLYGON ((-118.3826561 34.020631, -118.3826642 34.0206688, -118.3857085 34.0202086, -118.3863897 34.0200108, -118.3863522 34.0199552, -118.3870442 34.019555, -118.3872937 34.0193394, -118.3875136 34.019106, -118.3888413 34.0172779, -118.3881679 34.0169311, -118.3881124 34.0169411, -118.3877213 34.0175481, -118.3873913 34.0179783, -118.3872465 34.0181094, -118.3870132 34.0183751, -118.3866765 34.018703, -118.3862487 34.0190898, -118.3858477 34.0194333, -118.3856077 34.0196223, -118.3853046 34.0198101, -118.384968 34.0199669, -118.3843873 34.0201414, -118.384052 34.0202403, -118.3826561 34.020631))","Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1011578646,"[8465268169, 8465268170, 6264850189, 9333244333, 9333244334, 9333244335, 9333244365, 9333244336, 9333244337, 9333244338, 9333244339, 9333244340, 9333244341, 9333244342, 247471697, 247471698, 8465268215, 8113288007, 8113288008, 247471686, 9333244343, 9333244344, 9333244345, 9333244346, 9333244347, 8120400853, 481974757, 9333244348, 9333244349, 9333244350, 9333244351, 481974441, 9333244352, 9333244353, 9333244354, 9333244355, 9333244356, 9333244357, 9333244358, 9333244359, 9333244360, 9333244361, 8465268165, 8465268166, 8465268167, 8465268168, 8465268169]",commercial,"POLYGON ((-118.3841738 34.0197432, -118.3841859 34.0197736, -118.3842371 34.0199017, -118.3845402 34.019819, -118.3849076 34.0196956, -118.3851919 34.0195545, -118.3853428 34.0194694, -118.3855071 34.0193399, -118.3859684 34.0189464, -118.3861911 34.0187664, -118.386411 34.0185718, -118.3868871 34.0180961, -118.3870789 34.0178749, -118.3874946 34.0173446, -118.3876798 34.0170765, -118.3873754 34.0169369, -118.3870759 34.0173116, -118.3868042 34.0176523, -118.3868059 34.0177033, -118.3866877 34.0178594, -118.3866162 34.0179249, -118.3864821 34.0178226, -118.3863413 34.017737, -118.3859805 34.0175959, -118.3857243 34.0174958, -118.3847109 34.0169231, -118.3846497 34.0168858, -118.3843604 34.0172257, -118.3843993 34.0174113, -118.3845938 34.0175225, -118.384684 34.017422, -118.3849326 34.0175723, -118.3854525 34.0178493, -118.3856184 34.0176826, -118.3857887 34.0178349, -118.3861776 34.0180761, -118.3862058 34.0181806, -118.3862206 34.0182873, -118.3858839 34.0186074, -118.385601 34.0189442, -118.3853502 34.0191543, -118.3850283 34.0193522, -118.3847623 34.0194299, -118.3843841 34.0195955, -118.3843787 34.0196166, -118.3842567 34.0197133, -118.3841738 34.0197432))","Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,
